Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
Female,No,33,Yes,Entertainment,12.0,Low,2.0,Cat_6,A
Female,No,30,Yes,Healthcare,2.0,Low,5.0,Cat_6,D
Male,No,18,No,Healthcare,1.0,Low,4.0,Cat_4,D
Female,Yes,47,Yes,Artist,7.0,Average,2.0,Cat_6,C
Male,No,29,No,Doctor,1.0,Low,4.0,Cat_6,D
Male,Yes,63,No,Executive,0.0,High,4.0,Cat_6,B
Male,,55,Yes,Engineer,0.0,Average,2.0,Cat_4,B
Female,No,48,Yes,Entertainment,1.0,Low,,Cat_4,C
Male,Yes,27,Yes,Entertainment,0.0,Low,4.0,Cat_7,D
Female,Yes,43,Yes,Artist,1.0,Low,1.0,Cat_1,A
Female,Yes,50,Yes,Engineer,0.0,Low,,Cat_6,B
Male,No,29,No,Healthcare,1.0,Low,3.0,Cat_6,D
Male,Yes,73,Yes,Artist,1.0,Average,,Cat_3,C
Female,Yes,57,No,Engineer,8.0,Low,1.0,Cat_6,B
Female,Yes,47,No,Engineer,8.0,Low,1.0,Cat_3,A
Female,Yes,32,Yes,Executive,4.0,High,3.0,Cat_7,C
Female,Yes,25,Yes,Entertainment,0.0,Average,2.0,Cat_1,A
Female,Yes,79,Yes,Lawyer,1.0,High,2.0,Cat_4,B
Female,No,41,Yes,Artist,0.0,Low,1.0,Cat_6,A
Male,Yes,36,Yes,Artist,4.0,Average,2.0,Cat_6,C
Male,No,19,No,Healthcare,1.0,Low,9.0,Cat_7,D
Female,Yes,49,No,Engineer,,Average,5.0,Cat_4,A
Male,Yes,26,No,Entertainment,0.0,High,2.0,Cat_6,D
Male,No,28,Yes,Artist,13.0,Low,2.0,Cat_6,A
Male,No,84,No,Artist,0.0,Low,1.0,Cat_6,D
Male,Yes,81,No,Lawyer,1.0,Low,2.0,Cat_6,D
Female,No,35,Yes,Healthcare,1.0,Low,1.0,Cat_6,D
Male,Yes,55,Yes,Doctor,0.0,Average,2.0,Cat_6,C
Male,Yes,50,No,Executive,0.0,High,5.0,Cat_6,B
Male,Yes,78,Yes,Lawyer,0.0,Low,5.0,Cat_6,A
Male,Yes,36,No,Entertainment,0.0,Average,4.0,Cat_4,A
Male,No,47,Yes,Marketing,1.0,Low,1.0,Cat_6,A
Male,Yes,48,No,Entertainment,6.0,Average,5.0,Cat_4,B
Female,Yes,69,Yes,Marketing,1.0,Low,2.0,Cat_6,C
Male,Yes,38,No,Marketing,0.0,High,4.0,Cat_7,B
Male,Yes,36,Yes,Artist,1.0,Average,4.0,Cat_6,C
Female,Yes,52,No,Engineer,9.0,Average,4.0,Cat_4,B
Male,No,46,Yes,Artist,0.0,Low,1.0,Cat_6,B
Male,No,18,No,Marketing,1.0,Low,6.0,Cat_3,D
Female,No,22,No,Healthcare,0.0,Low,4.0,Cat_6,D
Male,No,18,No,Doctor,1.0,Low,6.0,Cat_6,B
Male,Yes,30,No,Homemaker,1.0,Average,3.0,Cat_6,D
Male,No,32,Yes,Engineer,,Low,3.0,Cat_6,D
Male,Yes,43,No,Artist,7.0,High,4.0,Cat_6,B
Female,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,C
Female,No,40,Yes,Homemaker,9.0,Low,2.0,Cat_6,A
Male,Yes,55,Yes,Artist,0.0,Average,3.0,Cat_6,C
Female,No,33,No,Healthcare,1.0,Low,7.0,Cat_4,B
Male,No,31,Yes,Healthcare,1.0,Low,5.0,Cat_6,D
Female,No,35,Yes,Healthcare,3.0,Low,6.0,Cat_2,D
Male,No,40,Yes,Healthcare,8.0,Low,3.0,Cat_2,D
Male,Yes,69,No,Artist,0.0,Average,3.0,Cat_6,B
Female,Yes,46,Yes,Artist,1.0,Low,4.0,Cat_4,B
Female,Yes,63,Yes,Marketing,0.0,Low,2.0,Cat_6,D
Female,No,50,No,Artist,0.0,Low,,Cat_2,A
Male,Yes,61,Yes,Artist,1.0,Average,2.0,Cat_6,B
Female,No,50,No,Engineer,1.0,Low,1.0,Cat_3,A
Female,No,25,Yes,Marketing,2.0,Low,,Cat_4,A
Male,Yes,53,Yes,Artist,0.0,High,3.0,Cat_6,C
Female,Yes,35,Yes,Engineer,0.0,Average,2.0,Cat_6,B
Male,No,19,No,Healthcare,7.0,Low,3.0,Cat_6,D
Male,No,26,No,Healthcare,3.0,Low,4.0,Cat_3,D
Female,Yes,38,No,Engineer,0.0,Average,4.0,Cat_6,B
Female,No,26,No,Artist,1.0,Low,1.0,Cat_6,D
Male,Yes,39,Yes,Healthcare,0.0,High,3.0,Cat_6,C
Male,Yes,39,Yes,Entertainment,1.0,Low,4.0,Cat_4,A
Female,Yes,72,Yes,Homemaker,1.0,Low,,Cat_6,B
Female,No,45,Yes,Artist,2.0,Low,1.0,Cat_6,A
Male,Yes,47,No,Entertainment,0.0,Average,4.0,Cat_6,C
Female,No,30,Yes,Entertainment,0.0,Low,5.0,Cat_2,A
Male,Yes,48,No,Executive,5.0,High,2.0,Cat_4,A
Female,Yes,76,Yes,Marketing,0.0,Low,2.0,Cat_6,B
Male,Yes,71,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
Female,No,41,Yes,Artist,0.0,Low,1.0,Cat_6,A
Female,No,29,No,Entertainment,0.0,Low,,Cat_4,A
Male,Yes,57,Yes,Artist,1.0,Average,5.0,Cat_6,C
Male,Yes,49,No,Entertainment,0.0,Low,1.0,Cat_6,A
Male,Yes,21,No,Healthcare,1.0,High,8.0,Cat_4,B
Male,No,18,No,Healthcare,0.0,Low,3.0,Cat_6,D
Male,No,22,No,Healthcare,,Low,3.0,Cat_7,D
Female,No,33,No,Homemaker,8.0,Low,1.0,Cat_6,D
Male,Yes,53,Yes,Entertainment,1.0,Low,3.0,Cat_6,A
Male,Yes,55,Yes,Artist,1.0,Average,2.0,Cat_4,B
Male,Yes,73,Yes,Lawyer,0.0,High,4.0,Cat_6,A
Male,Yes,89,Yes,Executive,,High,2.0,Cat_6,C
Male,Yes,59,Yes,Artist,0.0,Low,2.0,Cat_6,A
Male,No,38,Yes,Entertainment,0.0,Low,2.0,Cat_6,D
Female,No,42,Yes,Artist,0.0,Low,2.0,Cat_6,C
Female,Yes,83,Yes,Lawyer,1.0,High,2.0,Cat_6,A
Female,No,22,No,Healthcare,,Low,4.0,Cat_3,D
Male,Yes,46,No,Artist,0.0,Average,4.0,Cat_3,B
Male,Yes,37,Yes,Entertainment,8.0,Average,2.0,Cat_6,B
Female,Yes,42,No,Engineer,1.0,Low,3.0,Cat_6,A
Male,Yes,71,Yes,Artist,0.0,Average,2.0,Cat_6,C
Female,No,18,No,Healthcare,7.0,Low,3.0,Cat_6,D
Female,No,41,Yes,Artist,4.0,Low,1.0,Cat_6,D
Male,Yes,27,Yes,Healthcare,0.0,Low,5.0,Cat_4,D
Female,No,53,No,Entertainment,1.0,Low,1.0,Cat_4,A
Female,No,28,No,Healthcare,0.0,Low,3.0,Cat_4,B
Male,Yes,35,Yes,,3.0,Average,2.0,Cat_6,C
Male,No,18,No,Doctor,0.0,Low,2.0,Cat_5,D
Male,No,19,No,Healthcare,2.0,Low,4.0,Cat_6,D
Female,No,32,No,Healthcare,0.0,Low,4.0,Cat_3,B
Male,No,30,No,Healthcare,1.0,Low,4.0,Cat_2,C
Male,No,36,Yes,Doctor,0.0,Low,1.0,Cat_6,B
Male,Yes,82,Yes,Lawyer,5.0,High,2.0,Cat_6,A
Female,Yes,37,Yes,Engineer,,Low,1.0,Cat_3,C
Male,No,45,Yes,Artist,1.0,Low,1.0,Cat_6,A
Male,No,31,Yes,,6.0,Low,1.0,Cat_4,D
Male,Yes,27,Yes,Entertainment,9.0,Low,4.0,Cat_6,C
Female,No,18,No,Healthcare,1.0,Low,5.0,Cat_6,D
Male,Yes,22,No,Doctor,1.0,Low,4.0,Cat_6,A
Female,No,22,No,Healthcare,2.0,Low,6.0,Cat_6,D
Female,No,42,No,Homemaker,8.0,Low,1.0,Cat_3,D
Male,Yes,69,No,Doctor,1.0,Low,1.0,Cat_6,A
Female,Yes,43,Yes,Homemaker,8.0,High,2.0,Cat_6,A
Female,Yes,89,No,Lawyer,3.0,High,2.0,Cat_6,A
Female,No,26,No,Healthcare,1.0,Low,4.0,Cat_3,C
Male,No,43,Yes,Artist,1.0,Low,3.0,Cat_6,B
Male,Yes,30,Yes,Entertainment,1.0,Average,2.0,Cat_3,C
Female,Yes,60,Yes,Executive,0.0,Low,2.0,Cat_6,B
Female,Yes,38,Yes,Doctor,7.0,High,4.0,Cat_3,C
Female,,29,Yes,Homemaker,0.0,High,4.0,Cat_2,B
Male,Yes,45,Yes,Entertainment,0.0,Average,2.0,Cat_4,A
Male,No,20,No,Healthcare,3.0,Low,4.0,Cat_4,D
Female,Yes,51,Yes,Marketing,9.0,Low,1.0,Cat_6,A
Male,Yes,36,Yes,Entertainment,1.0,Average,4.0,Cat_3,C
Female,No,41,No,Marketing,9.0,Low,3.0,Cat_3,B
Male,Yes,46,No,Entertainment,,Low,5.0,Cat_6,D
Female,No,30,Yes,Artist,9.0,Low,1.0,Cat_6,A
Female,No,23,No,Homemaker,0.0,Low,5.0,Cat_5,B
Male,Yes,39,Yes,Healthcare,4.0,Low,2.0,Cat_6,B
Male,Yes,63,Yes,Artist,0.0,Average,4.0,Cat_6,B
Male,Yes,60,Yes,Artist,1.0,Average,3.0,Cat_6,C
Male,No,20,No,Healthcare,1.0,Low,3.0,Cat_6,D
Female,Yes,89,No,Lawyer,1.0,High,2.0,Cat_6,A
Female,,31,,Doctor,9.0,High,2.0,Cat_4,A
Male,No,43,Yes,Executive,1.0,Low,4.0,Cat_6,A
Female,Yes,70,No,Lawyer,3.0,High,2.0,Cat_6,A
Male,No,35,Yes,Artist,9.0,Low,1.0,Cat_6,A
Male,Yes,42,Yes,Artist,0.0,High,2.0,Cat_6,B
Male,Yes,39,Yes,Doctor,6.0,Average,2.0,Cat_3,C
Female,Yes,29,Yes,Healthcare,0.0,Low,2.0,Cat_6,A
Female,No,38,No,Homemaker,8.0,Low,,Cat_6,A
Female,Yes,74,No,Lawyer,1.0,Low,1.0,Cat_6,A
Male,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_6,C
Male,Yes,51,Yes,Entertainment,0.0,Average,4.0,Cat_7,C
Male,Yes,50,Yes,Executive,1.0,High,3.0,Cat_6,C
Male,No,23,No,Marketing,0.0,Low,3.0,Cat_6,D
Male,No,36,Yes,Artist,9.0,Low,3.0,Cat_6,A
Male,No,36,Yes,Artist,8.0,Low,1.0,Cat_6,B
Female,Yes,50,Yes,Doctor,1.0,Low,2.0,Cat_6,D
Male,No,23,No,Healthcare,,Low,4.0,Cat_3,D
Female,No,37,No,Healthcare,1.0,Low,1.0,Cat_6,D
Male,Yes,65,Yes,Executive,0.0,High,4.0,Cat_6,C
Female,No,26,Yes,Healthcare,0.0,Low,1.0,Cat_6,D
Male,Yes,55,Yes,Entertainment,1.0,Low,3.0,Cat_6,A
Male,Yes,65,Yes,Executive,0.0,High,2.0,Cat_6,C
Female,Yes,72,Yes,Lawyer,1.0,High,2.0,Cat_6,A
Male,Yes,51,Yes,Artist,7.0,Average,2.0,Cat_6,C
Male,No,25,Yes,Artist,1.0,Low,5.0,Cat_6,D
Male,Yes,38,No,Executive,0.0,High,3.0,Cat_6,C
Male,Yes,55,No,Artist,,Average,2.0,Cat_6,A
Male,Yes,46,No,Artist,0.0,Average,,Cat_6,C
Female,No,39,Yes,Artist,0.0,Low,3.0,Cat_6,B
Female,Yes,62,Yes,Artist,0.0,High,2.0,Cat_6,B
Female,Yes,37,Yes,Artist,4.0,Average,2.0,Cat_2,C
Female,No,28,No,Engineer,3.0,Low,7.0,Cat_4,A
Female,No,32,Yes,Marketing,1.0,Low,6.0,Cat_6,B
Male,No,31,Yes,Doctor,14.0,Low,2.0,Cat_7,A
Female,No,31,No,Healthcare,1.0,Low,3.0,Cat_6,D
Male,No,43,Yes,Artist,8.0,Low,,Cat_6,A
Male,Yes,67,Yes,Artist,1.0,Average,2.0,Cat_6,B
Female,No,72,Yes,Lawyer,0.0,Low,1.0,Cat_6,C
Female,Yes,57,No,Engineer,0.0,Low,3.0,Cat_6,B
Male,,58,No,Executive,,High,3.0,Cat_6,A
Male,Yes,36,Yes,Entertainment,4.0,Average,2.0,Cat_6,B
Female,No,21,No,Homemaker,9.0,Low,1.0,Cat_6,D
Male,Yes,47,No,Entertainment,1.0,Average,5.0,Cat_6,C
Female,No,25,Yes,Entertainment,8.0,Low,3.0,Cat_6,D
Female,Yes,41,No,Engineer,9.0,Average,2.0,Cat_3,B
Male,No,29,Yes,Healthcare,0.0,Low,4.0,Cat_6,A
Male,No,21,No,Healthcare,0.0,Low,3.0,Cat_4,D
Male,Yes,66,Yes,Lawyer,0.0,Low,1.0,Cat_6,C
Male,Yes,27,Yes,Entertainment,10.0,Low,2.0,Cat_6,B
Female,No,27,No,Homemaker,,Low,4.0,Cat_6,C
Male,Yes,52,Yes,Artist,4.0,Low,1.0,Cat_6,C
Male,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_6,C
Female,No,23,No,Healthcare,0.0,Low,4.0,Cat_3,D
Male,No,27,Yes,Entertainment,0.0,Low,5.0,Cat_6,B
Female,Yes,52,Yes,Doctor,1.0,Low,3.0,Cat_4,B
Male,Yes,65,No,Artist,0.0,Average,2.0,Cat_4,A
Male,No,42,No,Entertainment,,Low,3.0,Cat_3,D
Male,Yes,59,No,Entertainment,1.0,Low,2.0,Cat_6,A
Female,Yes,45,Yes,Lawyer,0.0,Low,1.0,Cat_6,B
Male,Yes,18,No,Executive,,Average,,Cat_3,D
Female,Yes,61,No,Engineer,1.0,High,3.0,Cat_4,B
Female,Yes,53,Yes,Artist,1.0,Average,4.0,Cat_3,C
Female,Yes,37,Yes,Doctor,1.0,Average,2.0,Cat_6,C
Male,Yes,63,Yes,Executive,0.0,High,5.0,Cat_6,D
Female,No,33,No,Marketing,,Low,5.0,Cat_4,D
Female,Yes,50,Yes,Artist,1.0,Low,3.0,Cat_4,C
Female,Yes,62,Yes,Artist,1.0,Low,2.0,Cat_6,C
Male,Yes,49,Yes,Artist,1.0,Average,8.0,Cat_4,C
Male,Yes,46,Yes,Homemaker,6.0,Average,3.0,Cat_3,C
Male,No,27,,Doctor,0.0,Low,,Cat_2,A
Male,Yes,53,Yes,Executive,1.0,High,4.0,Cat_6,C
Female,Yes,42,Yes,Artist,2.0,High,2.0,Cat_6,C
Female,Yes,28,Yes,Artist,0.0,Low,1.0,Cat_5,A
Female,Yes,49,Yes,Engineer,1.0,Average,4.0,Cat_6,B
Male,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_6,B
Female,Yes,27,No,Doctor,0.0,Low,,Cat_3,C
Male,Yes,58,Yes,Lawyer,0.0,High,2.0,Cat_6,B
Male,Yes,41,No,Artist,8.0,Average,2.0,Cat_6,C
Male,Yes,32,Yes,Entertainment,9.0,Average,2.0,Cat_6,D
Male,No,33,No,Entertainment,0.0,Low,2.0,Cat_6,A
Male,Yes,69,No,Entertainment,0.0,Low,5.0,Cat_3,A
Female,No,31,No,Doctor,6.0,Low,4.0,Cat_6,D
Female,Yes,68,No,Lawyer,,High,3.0,Cat_6,D
Female,No,39,No,Engineer,4.0,Low,3.0,Cat_3,D
Female,No,21,No,Healthcare,1.0,Low,5.0,Cat_4,D
Female,Yes,39,No,Artist,,Average,3.0,Cat_6,B
Female,Yes,41,Yes,Artist,9.0,Low,1.0,Cat_6,C
Male,Yes,49,Yes,Artist,1.0,Average,4.0,Cat_6,C
Female,Yes,38,Yes,Executive,0.0,Average,2.0,Cat_6,A
Female,Yes,36,Yes,Executive,,High,,Cat_3,A
Female,Yes,52,Yes,Artist,9.0,Low,4.0,Cat_6,C
Female,No,46,Yes,Artist,6.0,Low,2.0,Cat_6,C
Male,No,28,No,Doctor,4.0,Low,3.0,Cat_6,C
Female,Yes,55,Yes,Artist,0.0,High,5.0,Cat_6,B
Female,No,41,Yes,Healthcare,1.0,Low,1.0,Cat_6,D
Male,Yes,47,No,Executive,0.0,High,2.0,Cat_7,B
Male,Yes,52,Yes,Artist,0.0,Low,3.0,Cat_4,A
Female,Yes,45,Yes,Artist,4.0,High,4.0,Cat_6,C
Male,No,32,No,Healthcare,,Low,3.0,Cat_6,D
Male,Yes,78,Yes,Lawyer,1.0,Low,1.0,Cat_6,B
Male,No,45,,Artist,0.0,Low,1.0,Cat_6,C
Male,Yes,39,No,Executive,,Average,7.0,Cat_4,D
Male,Yes,38,No,Doctor,0.0,High,4.0,Cat_6,D
Female,Yes,50,Yes,Artist,1.0,Average,4.0,Cat_6,C
Female,Yes,53,Yes,Engineer,8.0,High,4.0,Cat_6,A
Male,No,43,Yes,Artist,1.0,Low,1.0,Cat_3,A
Male,Yes,59,Yes,Artist,1.0,Average,3.0,Cat_6,C
Female,No,38,No,Entertainment,8.0,Low,2.0,Cat_6,B
Male,Yes,42,Yes,Artist,2.0,Average,2.0,Cat_6,C
Male,Yes,65,Yes,Artist,0.0,Average,2.0,Cat_6,C
Male,Yes,79,Yes,Lawyer,0.0,Low,2.0,Cat_6,A
Female,No,41,Yes,Artist,1.0,Low,1.0,Cat_4,D
Male,Yes,42,Yes,Entertainment,9.0,Low,2.0,Cat_6,A
Male,Yes,28,No,Executive,,Low,7.0,Cat_4,A
Male,Yes,49,Yes,Doctor,1.0,Average,2.0,Cat_6,C
Male,Yes,58,Yes,Artist,1.0,Low,2.0,Cat_7,B
Male,Yes,69,Yes,Lawyer,0.0,High,3.0,Cat_6,A
Female,No,35,Yes,Artist,3.0,Low,1.0,Cat_6,C
Female,Yes,47,No,Engineer,0.0,High,2.0,Cat_4,A
Female,No,25,Yes,Marketing,12.0,Low,1.0,Cat_6,D
Female,Yes,38,Yes,Homemaker,0.0,Low,2.0,Cat_4,A
Female,No,25,No,Engineer,8.0,Low,3.0,Cat_6,D
Male,Yes,76,No,Lawyer,0.0,Low,1.0,Cat_6,A
Female,No,23,No,Healthcare,0.0,Low,5.0,Cat_5,D
Male,No,38,Yes,Marketing,3.0,Low,,Cat_6,D
Female,Yes,49,Yes,Artist,0.0,Average,3.0,Cat_6,C
Female,Yes,56,Yes,,1.0,Low,1.0,Cat_6,B
Female,Yes,71,Yes,Artist,1.0,High,2.0,Cat_6,C
Female,No,39,No,Engineer,0.0,Low,3.0,Cat_3,A
Female,No,41,Yes,Artist,8.0,Low,3.0,Cat_6,A
Male,Yes,66,No,Lawyer,1.0,Low,,Cat_4,D
Female,Yes,27,No,Homemaker,10.0,Low,1.0,Cat_6,D
Female,No,23,No,Healthcare,,Low,3.0,Cat_6,D
Female,Yes,35,Yes,Artist,2.0,Average,2.0,Cat_6,C
Female,Yes,33,No,Artist,,Low,2.0,Cat_1,B
Female,No,21,No,Executive,8.0,Low,,Cat_7,D
Female,Yes,49,No,Engineer,0.0,Low,1.0,Cat_6,A
Male,Yes,42,No,Engineer,9.0,Low,3.0,Cat_6,D
Male,No,39,Yes,Artist,0.0,Low,1.0,Cat_6,A
Male,Yes,68,Yes,Lawyer,8.0,Low,1.0,Cat_5,A
Male,Yes,57,Yes,Artist,1.0,Low,1.0,Cat_6,A
Male,No,38,Yes,Artist,0.0,Low,1.0,Cat_6,A
Female,Yes,35,No,Engineer,2.0,Average,5.0,Cat_4,D
Female,Yes,41,Yes,Marketing,0.0,Low,3.0,Cat_6,D
Male,Yes,40,Yes,Artist,0.0,Average,4.0,Cat_4,C
Female,No,32,Yes,Healthcare,,Low,3.0,Cat_3,C
Male,Yes,53,Yes,Artist,0.0,Average,4.0,Cat_6,B
Female,Yes,38,Yes,Homemaker,8.0,Average,3.0,Cat_6,B
Female,Yes,68,No,Marketing,0.0,Low,2.0,Cat_6,D
Male,No,30,No,Executive,1.0,Low,2.0,Cat_6,D
Male,Yes,52,No,Entertainment,4.0,Average,5.0,Cat_6,C
Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6,A
Female,No,31,Yes,Healthcare,1.0,Low,7.0,Cat_6,A
Female,Yes,38,No,Executive,,Average,4.0,Cat_4,A
Male,Yes,87,No,Executive,0.0,High,2.0,Cat_6,C
Male,No,23,No,Healthcare,1.0,Low,4.0,Cat_6,D
Male,No,45,Yes,Artist,5.0,Low,1.0,Cat_4,C
Male,Yes,36,Yes,Artist,9.0,Average,4.0,Cat_7,A
Male,Yes,41,No,Executive,1.0,High,2.0,Cat_4,B
Female,Yes,48,Yes,Artist,0.0,Low,4.0,Cat_6,C
Male,Yes,70,Yes,Executive,1.0,High,5.0,Cat_3,B
Female,Yes,84,Yes,Lawyer,3.0,High,2.0,Cat_6,A
Male,Yes,39,Yes,Healthcare,11.0,Average,2.0,Cat_2,D
Female,No,39,Yes,Artist,0.0,Low,1.0,Cat_6,A
Male,Yes,50,Yes,Artist,1.0,Average,4.0,Cat_6,C
Male,Yes,40,Yes,Doctor,1.0,Low,5.0,Cat_6,A
Male,Yes,39,Yes,Artist,,Average,2.0,Cat_4,C
Male,Yes,38,Yes,Artist,4.0,Average,3.0,Cat_6,C
Male,Yes,71,No,Lawyer,1.0,High,2.0,Cat_6,B
Female,No,35,Yes,Artist,10.0,Low,1.0,Cat_6,A
Male,Yes,27,Yes,Healthcare,5.0,Low,5.0,Cat_6,D
Male,Yes,33,No,Healthcare,8.0,Average,3.0,Cat_6,C
Male,Yes,37,No,Artist,,Average,3.0,Cat_4,B
Male,Yes,74,Yes,Lawyer,1.0,High,2.0,Cat_6,B
Male,No,20,No,Marketing,0.0,Low,2.0,Cat_6,D
Female,Yes,30,No,Entertainment,1.0,High,4.0,Cat_5,D
Male,No,22,No,Doctor,0.0,Low,4.0,Cat_6,B
Female,No,43,Yes,Homemaker,9.0,Low,1.0,Cat_6,A
Male,No,36,Yes,Artist,11.0,Low,2.0,Cat_6,C
Male,No,29,Yes,Healthcare,4.0,Low,2.0,Cat_6,C
Female,No,43,Yes,Entertainment,0.0,Low,6.0,Cat_6,A
Male,No,38,Yes,Entertainment,7.0,Low,1.0,Cat_6,D
Female,Yes,40,Yes,Artist,5.0,High,5.0,,B
Female,Yes,68,Yes,Lawyer,9.0,High,4.0,Cat_6,C
Male,Yes,57,Yes,Artist,1.0,Average,,Cat_6,C
Female,No,35,Yes,Entertainment,9.0,Low,2.0,Cat_6,A
Female,No,23,No,Doctor,7.0,Low,4.0,Cat_2,C
Male,No,50,Yes,Artist,1.0,Low,1.0,Cat_6,B
Female,No,32,Yes,Doctor,0.0,Low,5.0,Cat_6,D
Male,Yes,59,Yes,Entertainment,9.0,Low,1.0,Cat_6,A
Female,No,30,Yes,Healthcare,3.0,Low,5.0,Cat_6,B
Female,No,35,Yes,Artist,0.0,Low,1.0,Cat_6,A
Male,No,48,Yes,Healthcare,1.0,Low,2.0,Cat_6,D
Male,No,29,No,Healthcare,9.0,Low,4.0,Cat_3,D
Female,Yes,40,Yes,Artist,1.0,Average,2.0,Cat_6,C
Male,Yes,38,Yes,Artist,1.0,Average,3.0,Cat_2,C
Male,Yes,36,No,Engineer,0.0,Low,1.0,Cat_6,D
Male,No,20,No,Healthcare,0.0,Low,4.0,Cat_6,D
Male,No,29,No,Healthcare,6.0,Low,3.0,Cat_6,C
Male,Yes,42,No,Executive,3.0,High,3.0,Cat_4,A
Female,Yes,35,Yes,Entertainment,1.0,Low,1.0,Cat_6,D
Female,Yes,37,No,Engineer,1.0,Average,6.0,Cat_4,B
Female,Yes,52,No,Artist,0.0,Average,4.0,Cat_6,C
Male,No,53,Yes,Artist,0.0,Low,2.0,Cat_4,C
Male,Yes,30,No,Artist,9.0,High,6.0,Cat_2,A
Female,Yes,65,Yes,Artist,1.0,Low,2.0,Cat_6,B
Female,No,23,No,Healthcare,1.0,Low,3.0,Cat_6,D
Female,No,32,No,Entertainment,0.0,Low,3.0,Cat_4,C
Female,No,36,Yes,Homemaker,9.0,Low,1.0,Cat_2,A
Male,No,27,No,Entertainment,1.0,Low,3.0,Cat_4,B
Male,Yes,36,Yes,Executive,0.0,Low,2.0,Cat_3,B
Male,No,37,Yes,Artist,12.0,Low,1.0,Cat_6,B
Male,No,29,No,Entertainment,0.0,Low,3.0,Cat_6,D
Male,No,29,Yes,Executive,0.0,Low,5.0,Cat_6,C
Male,No,27,Yes,Doctor,1.0,Low,6.0,Cat_4,D
Female,No,35,Yes,Engineer,2.0,Low,1.0,Cat_7,B
Male,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,A
Male,No,37,Yes,Entertainment,6.0,Low,4.0,Cat_2,A
Male,No,19,No,Healthcare,0.0,Low,5.0,Cat_4,D
Male,No,29,Yes,Healthcare,0.0,Low,4.0,Cat_6,D
Female,Yes,53,Yes,Artist,0.0,Average,2.0,Cat_3,C
Male,No,25,Yes,Healthcare,0.0,Low,,Cat_3,D
Female,Yes,38,Yes,,1.0,Low,1.0,Cat_3,C
Male,Yes,48,Yes,Artist,,Low,6.0,Cat_6,B
Female,No,26,No,Engineer,4.0,Low,1.0,Cat_7,A
Female,No,30,Yes,Healthcare,0.0,Low,4.0,Cat_6,D
Male,No,30,No,Entertainment,1.0,Low,2.0,Cat_4,D
Male,Yes,69,No,Executive,1.0,High,3.0,Cat_6,B
Male,Yes,57,Yes,Artist,0.0,Low,1.0,Cat_3,A
Female,Yes,56,Yes,Artist,4.0,Average,2.0,Cat_6,C
Male,No,27,Yes,Healthcare,8.0,Low,4.0,Cat_6,D
Male,No,21,No,Healthcare,0.0,Low,6.0,Cat_4,D
Female,Yes,71,Yes,Artist,0.0,High,4.0,Cat_1,B
Female,No,39,Yes,Entertainment,8.0,Low,4.0,Cat_4,D
Female,Yes,87,Yes,Lawyer,1.0,High,2.0,Cat_6,A
Male,Yes,59,No,Entertainment,6.0,Average,3.0,Cat_3,B
Male,No,32,Yes,Marketing,8.0,Low,1.0,Cat_6,D
Male,Yes,40,No,Executive,7.0,Low,4.0,Cat_6,A
Female,Yes,58,Yes,Artist,0.0,High,3.0,,B
Male,No,19,No,Healthcare,,Low,5.0,Cat_4,D
Female,No,31,Yes,Marketing,0.0,Low,9.0,Cat_7,D
Male,No,31,No,Healthcare,,Low,4.0,Cat_6,B
Female,Yes,43,No,Engineer,,Average,2.0,Cat_4,D
Male,Yes,47,No,,1.0,Low,5.0,Cat_3,A
Male,No,35,No,Marketing,0.0,Low,4.0,Cat_4,D
Female,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_6,C
Male,Yes,69,Yes,Artist,1.0,Low,2.0,Cat_6,A
Male,Yes,69,Yes,Doctor,0.0,High,3.0,Cat_6,C
Female,Yes,45,Yes,Entertainment,3.0,Average,5.0,Cat_3,B
Male,Yes,38,Yes,Artist,0.0,Low,4.0,Cat_6,A
Male,Yes,39,Yes,Executive,5.0,High,3.0,Cat_6,C
Male,Yes,65,Yes,Artist,4.0,Low,,Cat_6,B
Female,No,23,No,Healthcare,2.0,Low,5.0,Cat_6,D
Female,Yes,58,No,Engineer,0.0,Average,6.0,Cat_4,A
Male,Yes,84,Yes,Entertainment,0.0,High,2.0,Cat_6,D
Male,Yes,35,Yes,Artist,5.0,Average,2.0,Cat_6,C
Female,No,22,No,Healthcare,1.0,Low,2.0,Cat_6,D
Male,No,30,No,Executive,,Low,4.0,Cat_6,D
Male,No,23,No,Healthcare,0.0,Low,2.0,Cat_4,D
Female,No,41,Yes,Artist,3.0,Low,3.0,Cat_6,D
Male,Yes,50,Yes,Executive,4.0,High,3.0,Cat_6,C
Male,Yes,50,Yes,Executive,0.0,High,4.0,Cat_6,A
Female,No,28,Yes,Homemaker,8.0,Low,1.0,Cat_6,D
Female,Yes,37,Yes,Doctor,1.0,Average,2.0,Cat_6,C
Male,No,19,No,Healthcare,,Low,6.0,Cat_6,D
